Technique,Target,Model,MAPE,RMSE
BoW,PartCosts,Linear Regression,6.535161730285548,1.0251916619012575
BoW,PartCosts,Ridge Regression,3.564757822144725,1.0049685772261712
BoW,PartCosts,Lasso Regression,1.0556403094129767,0.9911300622932926
BoW,PartCosts,ElasticNet,1.0556403094129767,0.9911300622932926
BoW,PartCosts,Decision Tree Regressor,4.361753314673839,1.4618283144920086
BoW,PartCosts,Random Forest Regressor,1.830857053414859,0.9836028047107608
BoW,PartCosts,Extra Trees Regressor,4.760640740686987,1.0663914563677077
BoW,PartCosts,Gradient Boosting Regressor,2.049571861648208,0.9913044949638571
BoW,PartCosts,AdaBoost Regressor,1.3484847942512557,0.9948993704872078
BoW,PartCosts,K-Nearest Neighbors Regressor,2.7849050982029193,1.030485378726622
BoW,PartCosts,Support Vector Regressor,2.5463068294712685,0.9999085752016932
BoW,PartCosts,MLP Regressor,7.2270123826311705,1.1168495703924524
BoW,PartCosts,XGBoost Regressor,4.044246351709015,1.083682468936891
BoW,PartCosts,LGBM Regressor,1.8900116767822697,1.0449454207271596
BoW,LaborHours,Linear Regression,2.0519068414827353,1.1483065243987725
BoW,LaborHours,Ridge Regression,1.5127110175126313,1.0938175489726112
BoW,LaborHours,Lasso Regression,1.00270120168774,0.9925813246694138
BoW,LaborHours,ElasticNet,1.00270120168774,0.9925813246694138
BoW,LaborHours,Decision Tree Regressor,2.767185185184202,1.4560066626513792
BoW,LaborHours,Random Forest Regressor,1.5485300488720828,1.0370672256286295
BoW,LaborHours,Extra Trees Regressor,2.7638452137491174,1.1965354937632557
BoW,LaborHours,Gradient Boosting Regressor,1.3482863967437613,1.0682728158086126
BoW,LaborHours,AdaBoost Regressor,1.035690564521534,0.995601814776292
BoW,LaborHours,K-Nearest Neighbors Regressor,2.104453969087672,1.1385297689622578
BoW,LaborHours,Support Vector Regressor,1.6023750564673822,1.0858210901661032
BoW,LaborHours,MLP Regressor,3.558103885452206,1.2345816872950024
BoW,LaborHours,XGBoost Regressor,1.6419216756963153,1.1599348507935154
BoW,LaborHours,LGBM Regressor,2.1938916610005896,1.1423649753129388
BoW,PartCosts,Linear Regression,3.0939080825195875,1.0147346436347724
BoW,PartCosts,Ridge Regression,3.409441378477431,1.0069161261385227
BoW,PartCosts,Lasso Regression,1.0556403094129767,0.9911300622932926
BoW,PartCosts,ElasticNet,1.0556403094129767,0.9911300622932926
BoW,PartCosts,Decision Tree Regressor,5.415999718247457,1.5260278659836497
BoW,PartCosts,Random Forest Regressor,1.4577440914619608,0.9808804442557137
BoW,PartCosts,Extra Trees Regressor,3.052875526586592,1.0136041762460117
BoW,PartCosts,Gradient Boosting Regressor,2.5849002481967407,1.028348991958495
BoW,PartCosts,AdaBoost Regressor,1.3124494436435128,0.9931919014340787
BoW,PartCosts,K-Nearest Neighbors Regressor,2.9562833510804625,1.02737364630514
BoW,PartCosts,Support Vector Regressor,2.6014153104650863,1.0017759127817427
BoW,PartCosts,MLP Regressor,3.728613835512458,1.1644122299556086
BoW,PartCosts,XGBoost Regressor,3.0962640413521685,1.0933794686891565
BoW,PartCosts,LGBM Regressor,2.1499361186620134,1.0282930557556673
BoW,LaborHours,Linear Regression,1.6322617439893552,1.118967201401977
BoW,LaborHours,Ridge Regression,1.402746310667452,1.0948621824365397
BoW,LaborHours,Lasso Regression,1.00270120168774,0.9925813246694138
BoW,LaborHours,ElasticNet,1.00270120168774,0.9925813246694138
BoW,LaborHours,Decision Tree Regressor,2.9851775068460182,1.347433901132538
BoW,LaborHours,Random Forest Regressor,1.3125968406410409,1.037231956985331
BoW,LaborHours,Extra Trees Regressor,2.076815043726032,1.1199025438377077
BoW,LaborHours,Gradient Boosting Regressor,1.4877520450679362,1.0858687454464993
BoW,LaborHours,AdaBoost Regressor,1.0873926871012494,0.9976234772937789
BoW,LaborHours,K-Nearest Neighbors Regressor,2.66653343553288,1.1541397252966092
BoW,LaborHours,Support Vector Regressor,1.6796009782209835,1.0878298307476886
BoW,LaborHours,MLP Regressor,2.72049805011426,1.3141291569703335
BoW,LaborHours,XGBoost Regressor,2.118049361629164,1.1286193897106396
BoW,LaborHours,LGBM Regressor,2.1109646493778014,1.1084557430288537
gensim word embeddings,PartCosts,Linear Regression,7.090182248459887,1.257535034130873
gensim word embeddings,PartCosts,Ridge Regression,3.1952589615529705,1.0098126440017696
gensim word embeddings,PartCosts,Lasso Regression,1.0556403094129767,0.9911300622932926
gensim word embeddings,PartCosts,ElasticNet,1.0556403094129767,0.9911300622932926
gensim word embeddings,PartCosts,Decision Tree Regressor,11.304494095962234,1.3698905891089403
gensim word embeddings,PartCosts,Random Forest Regressor,2.397821228771392,0.9907037568745077
gensim word embeddings,PartCosts,Extra Trees Regressor,3.0306601950785024,0.9988130100539445
gensim word embeddings,PartCosts,Gradient Boosting Regressor,3.648456402718829,1.0002743005330794
gensim word embeddings,PartCosts,AdaBoost Regressor,2.8175693648257107,1.0030410219094068
gensim word embeddings,PartCosts,K-Nearest Neighbors Regressor,3.960429311777931,1.0840782123294794
gensim word embeddings,PartCosts,Support Vector Regressor,3.896676955376613,1.0320458850100145
gensim word embeddings,PartCosts,MLP Regressor,8.698253795559754,1.178436102108948
gensim word embeddings,PartCosts,XGBoost Regressor,4.998293914959605,1.0191800255158263
gensim word embeddings,PartCosts,LGBM Regressor,3.6148174491456384,1.021708748631999
gensim word embeddings,LaborHours,Linear Regression,3.225591401876908,1.3078691658384838
gensim word embeddings,LaborHours,Ridge Regression,1.450111351287133,1.0910222242483814
gensim word embeddings,LaborHours,Lasso Regression,1.00270120168774,0.9925813246694138
gensim word embeddings,LaborHours,ElasticNet,1.00270120168774,0.9925813246694138
gensim word embeddings,LaborHours,Decision Tree Regressor,4.024740202785482,1.5080292067704577
gensim word embeddings,LaborHours,Random Forest Regressor,1.3277924751517127,1.0345540737596164
gensim word embeddings,LaborHours,Extra Trees Regressor,1.5554021915241785,1.051146220117924
gensim word embeddings,LaborHours,Gradient Boosting Regressor,1.9121162585540668,1.0655360150865412
gensim word embeddings,LaborHours,AdaBoost Regressor,1.1384355609863772,1.0063505762304232
gensim word embeddings,LaborHours,K-Nearest Neighbors Regressor,2.14932748676751,1.1255357297074355
gensim word embeddings,LaborHours,Support Vector Regressor,1.8714292386640745,1.1130022353392808
gensim word embeddings,LaborHours,MLP Regressor,3.6166817664904727,1.371032994841238
gensim word embeddings,LaborHours,XGBoost Regressor,2.343180703911191,1.106451274835555
gensim word embeddings,LaborHours,LGBM Regressor,1.9781030337940926,1.1153203305297712
Doc2Vec word embeddings,PartCosts,Linear Regression,4.347939291930925,1.0115167859635326
Doc2Vec word embeddings,PartCosts,Ridge Regression,3.7239350151832213,0.996842339250843
Doc2Vec word embeddings,PartCosts,Lasso Regression,1.0556403094129767,0.9911300622932926
Doc2Vec word embeddings,PartCosts,ElasticNet,1.0556403094129767,0.9911300622932926
Doc2Vec word embeddings,PartCosts,Decision Tree Regressor,8.446301482047,1.507906899554548
Doc2Vec word embeddings,PartCosts,Random Forest Regressor,2.669160039702313,0.9872126841081963
Doc2Vec word embeddings,PartCosts,Extra Trees Regressor,2.3528045123295116,0.9914908198658406
Doc2Vec word embeddings,PartCosts,Gradient Boosting Regressor,3.8777292625261115,0.9864730611504544
Doc2Vec word embeddings,PartCosts,AdaBoost Regressor,1.4651584589973947,0.9964286976812363
Doc2Vec word embeddings,PartCosts,K-Nearest Neighbors Regressor,4.91501824391654,1.0655913237853498
Doc2Vec word embeddings,PartCosts,Support Vector Regressor,4.4698233528793905,1.051386578747209
Doc2Vec word embeddings,PartCosts,MLP Regressor,6.161884734062835,1.1809216967160865
Doc2Vec word embeddings,PartCosts,XGBoost Regressor,3.7802101033011724,1.070878637816263
Doc2Vec word embeddings,PartCosts,LGBM Regressor,3.3463093789800724,1.0349118386865124
Doc2Vec word embeddings,LaborHours,Linear Regression,1.5144025579689304,1.0807891256782851
Doc2Vec word embeddings,LaborHours,Ridge Regression,1.3705683545899294,1.0555096115201437
Doc2Vec word embeddings,LaborHours,Lasso Regression,1.00270120168774,0.9925813246694138
Doc2Vec word embeddings,LaborHours,ElasticNet,1.00270120168774,0.9925813246694138
Doc2Vec word embeddings,LaborHours,Decision Tree Regressor,2.8236993688265075,1.4293567361126545
Doc2Vec word embeddings,LaborHours,Random Forest Regressor,1.2605347326253693,1.0405907435844683
Doc2Vec word embeddings,LaborHours,Extra Trees Regressor,1.1978201519286145,1.029836544090739
Doc2Vec word embeddings,LaborHours,Gradient Boosting Regressor,1.4159208383242543,1.0416694571072953
Doc2Vec word embeddings,LaborHours,AdaBoost Regressor,1.2169786073061253,1.004533022890553
Doc2Vec word embeddings,LaborHours,K-Nearest Neighbors Regressor,2.1657663423189675,1.1298539821701952
Doc2Vec word embeddings,LaborHours,Support Vector Regressor,1.3803082575018386,1.0686084228219128
Doc2Vec word embeddings,LaborHours,MLP Regressor,2.339858436328692,1.2944695240058788
Doc2Vec word embeddings,LaborHours,XGBoost Regressor,2.0268460361737617,1.1225476782829307
Doc2Vec word embeddings,LaborHours,LGBM Regressor,1.5556544665526446,1.0815107067408525
LDA,PartCosts,Linear Regression,2.363900977202401,0.9961477459728658
LDA,PartCosts,Ridge Regression,2.3957376387365987,0.9961503828527742
LDA,PartCosts,Lasso Regression,1.0556403094129767,0.9911300622932926
LDA,PartCosts,ElasticNet,1.0556403094129767,0.9911300622932926
LDA,PartCosts,Decision Tree Regressor,7.19849006672389,1.398183893170569
LDA,PartCosts,Random Forest Regressor,2.1452281533324906,1.0161417916346545
LDA,PartCosts,Extra Trees Regressor,3.0157898708133763,1.0515914130357673
LDA,PartCosts,Gradient Boosting Regressor,1.8626969792410364,1.0150208142269606
LDA,PartCosts,AdaBoost Regressor,1.1573294312654205,0.9842255596837284
LDA,PartCosts,K-Nearest Neighbors Regressor,3.751321137649326,1.0936236676229107
LDA,PartCosts,Support Vector Regressor,3.70184936656511,1.0560593213109373
LDA,PartCosts,MLP Regressor,3.9001869153353166,1.058123336119405
LDA,PartCosts,XGBoost Regressor,4.9017925152138675,1.0465032674293016
LDA,PartCosts,LGBM Regressor,3.772551741295174,1.0591234442589572
LDA,LaborHours,Linear Regression,1.1051867721026292,1.014501703371571
LDA,LaborHours,Ridge Regression,1.0630296238856929,1.0090749067173128
LDA,LaborHours,Lasso Regression,1.00270120168774,0.9925813246694138
LDA,LaborHours,ElasticNet,1.00270120168774,0.9925813246694138
LDA,LaborHours,Decision Tree Regressor,3.265056735960272,1.3422635971046593
LDA,LaborHours,Random Forest Regressor,1.359777839745559,1.0360356299356022
LDA,LaborHours,Extra Trees Regressor,1.660968981727271,1.09118175604923
LDA,LaborHours,Gradient Boosting Regressor,1.7624299131132881,1.0857050530850159
LDA,LaborHours,AdaBoost Regressor,1.0752109768818192,0.9982034297104058
LDA,LaborHours,K-Nearest Neighbors Regressor,1.8683083071094149,1.065799576988936
LDA,LaborHours,Support Vector Regressor,1.551507093433968,1.0842885724118108
LDA,LaborHours,MLP Regressor,1.5772801754447385,1.09114821118354
LDA,LaborHours,XGBoost Regressor,1.9548949040392887,1.1511906990901422
LDA,LaborHours,LGBM Regressor,1.9998297591265493,1.1284849739009926
BERT,PartCosts,Linear Regression,52.37194569445761,4.453814539868428
BERT,PartCosts,Ridge Regression,5.6600290275926515,1.584774352359718
BERT,PartCosts,Lasso Regression,1.0556403094129767,0.9911300622932926
BERT,PartCosts,ElasticNet,1.0556403094129767,0.9911300622932926
BERT,PartCosts,Decision Tree Regressor,5.421794984902688,1.4476053285932875
BERT,PartCosts,Random Forest Regressor,1.8051649975293995,1.0038875755304917
BERT,PartCosts,Extra Trees Regressor,2.0248578307190677,0.9948770832744309
BERT,PartCosts,Gradient Boosting Regressor,2.8957674140391374,1.0370248797676394
BERT,PartCosts,AdaBoost Regressor,1.9147505674816454,1.0013198190388697
BERT,PartCosts,K-Nearest Neighbors Regressor,3.6328529294094745,1.0691807259314476
BERT,PartCosts,Support Vector Regressor,2.95367151634802,1.031871056369587
BERT,PartCosts,MLP Regressor,6.56979252680082,1.288642431116791
BERT,PartCosts,XGBoost Regressor,3.887546866231263,1.09211027290516
BERT,PartCosts,LGBM Regressor,3.46703474856094,1.0620671172767007
BERT,LaborHours,Linear Regression,15.096321006475009,5.830299788247196
BERT,LaborHours,Ridge Regression,5.676497364076402,1.837041869233531
BERT,LaborHours,Lasso Regression,1.00270120168774,0.9925813246694138
BERT,LaborHours,ElasticNet,1.00270120168774,0.9925813246694138
BERT,LaborHours,Decision Tree Regressor,3.767837419688143,1.3956285484847903
BERT,LaborHours,Random Forest Regressor,1.2443936280052523,1.0266073491064613
BERT,LaborHours,Extra Trees Regressor,1.2156556319111445,1.0199734798608497
BERT,LaborHours,Gradient Boosting Regressor,1.3597643729230695,1.058261131085738
BERT,LaborHours,AdaBoost Regressor,1.1864853427536628,1.0164193874784837
BERT,LaborHours,K-Nearest Neighbors Regressor,2.133235520952893,1.147998477205852
BERT,LaborHours,Support Vector Regressor,1.3658048660663373,1.069396863401596
BERT,LaborHours,MLP Regressor,2.766595490059112,1.3321504172566792
BERT,LaborHours,XGBoost Regressor,1.829299667005338,1.1076065466367941
BERT,LaborHours,LGBM Regressor,1.5399908072177784,1.0682705965519137
